Asset,Strategy,Feature Set,Window,Threshold,Train Sharpe,Train Volatility,Train Max DD,Train Signal Accuracy,Train Signal Precision,Train Signal Recall,Test Sharpe,Test Volatility,Test Max DD,Test Signal Accuracy,Test Signal Precision,Test Signal Recall
NVDA,Momentum + Rolling Volatility,,20.0,4.0,1.3042928388445987,0.328520450176924,-0.30427873846676823,0.5139283683911313,0.5481335952848723,0.5855194123819517,1.17006027449342,0.3654158042213968,-0.4019325879297014,0.4913907284768212,0.5395348837209303,0.5550239234449761
NVDA,Momentum + Volume Ratio,,48.0,,1.0121968850154877,0.28463344964900705,-0.3326887652334607,0.49118817509948837,0.5604166666666667,0.28226652675760755,1.7780871272916206,0.2968130714937606,-0.14159972799662546,0.49801324503311256,0.5951219512195122,0.291866028708134
NVDA,Logistic Regression,v1,,,1.0795485029616338,0.49250696596631033,-0.6636205530533923,0.5400795906765208,0.5421052631578948,0.9727177334732424,1.9722245908810607,0.5015379749785939,-0.3688683518628126,0.5536423841059602,0.5536423841059602,1.0
NVDA,Random Forest,v1,,,9.325381528461943,0.3183866916473078,0.0,0.9852188743604321,1.0,0.9727177334732424,1.3464355215410524,0.3736904996881112,-0.4395062411871226,0.5178807947019868,0.5639810426540285,0.569377990430622
TTD,Momentum,,2.0,,0.9426585056845151,0.5313169915481444,-0.5194491355477443,0.5088793631353338,0.5350678733031674,0.5474537037037037,0.4480129236106079,0.4239908586788044,-0.5806432581840302,0.49857142857142855,0.5331412103746398,0.4946524064171123
TTD,Mean Reversion,,24.0,8.0,0.9583891541660194,0.34647523848524664,-0.42915316784328206,0.4898958971218616,0.5648535564853556,0.15625,-0.07560085836381895,0.22536626477142238,-0.345825178827908,0.48142857142857143,0.5454545454545454,0.17647058823529413
TTD,Momentum + Trend Strength,,22.0,,0.529245950599061,0.44639425450514586,-0.5433558765031842,0.48438456827924065,0.5152354570637119,0.4305555555555556,-0.5006548946208262,0.3379381056003932,-0.6173643163240309,0.47714285714285715,0.512987012987013,0.42245989304812837
TTD,Momentum + Rolling Volatility,,22.0,4.0,1.0023223285683298,0.4711410219580152,-0.38459869215277964,0.5003061849357011,0.5416666666666666,0.3611111111111111,-0.2511605161036247,0.4198488691274157,-0.5860599632745334,0.48857142857142855,0.5253164556962026,0.44385026737967914
TTD,Momentum + Volume Ratio,,32.0,,0.6844305630320291,0.4200584771257782,-0.3457327895106286,0.46662584200857316,0.4889589905362776,0.17939814814814814,-0.1449555975716123,0.33938242502953714,-0.43019160939683415,0.4642857142857143,0.49635036496350365,0.18181818181818182
TTD,Logistic Regression,v1,,,0.9482048419019006,0.6688678692197968,-0.6871222522230815,0.5296999387630129,0.5311688311688312,0.9467592592592593,0.20486624447228652,0.5447580302758779,-0.753253615195035,0.54,0.5381231671554252,0.9812834224598931
TTD,Random Forest,v1,,,7.6799206621054275,0.5225425088702543,0.0,0.9834660134721371,1.0,0.96875,-0.32359666282854305,0.47071512542959715,-0.7722152545905547,0.48,0.5147058823529411,0.4679144385026738
DOCS,Momentum,,20.0,,0.27766581192432177,0.4904245742832512,-0.43926375186599936,0.5232704402515723,0.5117647058823529,0.4496124031007752,0.46665776215994587,0.5362904392481641,-0.3657654483367203,0.501466275659824,0.5402298850574713,0.5108695652173914
DOCS,Mean Reversion,,14.0,6.0,1.015504612952908,0.4130073806839375,-0.36145390892211227,0.5358490566037736,0.56,0.21705426356589147,0.061354304564012765,0.19125181151887952,-0.14496228796951713,0.44574780058651026,0.45098039215686275,0.125
DOCS,Momentum + Trend Strength,,14.0,,-0.1140161125053857,0.24055845181180566,-0.30769325727163654,0.5182389937106918,0.5114942528735632,0.22997416020671835,0.6374116101040603,0.4151568875526972,-0.216326530612245,0.5131964809384164,0.5616438356164384,0.44565217391304346
DOCS,Momentum + Rolling Volatility,,6.0,4.0,0.4693008692996431,0.2817920024675512,-0.1997358959248723,0.5094339622641509,0.4913294797687861,0.21963824289405684,1.0244068800359243,0.49920966314875637,-0.2267209716634881,0.5131964809384164,0.5633802816901409,0.43478260869565216
