Asset,Strategy,Window,Threshold,Train Sharpe,Train Volatility,Train Max DD,Test Sharpe,Test Volatility,Test Max DD
TTD,Momentum + Rolling Volatility,22,4.0,1.0023223285683298,0.4711410219580152,-0.38459869215277964,-0.2511605161036247,0.4198488691274157,-0.5860599632745334
TTD,Momentum + Volume Ratio,32,,0.6844305630320291,0.4200584771257782,-0.3457327895106286,-0.1449555975716123,0.33938242502953714,-0.43019160939683415
DOCS,Momentum,20,,0.27766581192432177,0.4904245742832512,-0.43926375186599936,0.46665776215994587,0.5362904392481641,-0.3657654483367203
DOCS,Mean Reversion,14,6.0,1.015504612952908,0.4130073806839375,-0.36145390892211227,0.061354304564012765,0.19125181151887952,-0.14496228796951713
DOCS,Momentum + Trend Strength,14,,-0.1140161125053857,0.24055845181180566,-0.30769325727163654,0.6374116101040603,0.4151568875526972,-0.216326530612245
DOCS,Momentum + Rolling Volatility,6,4.0,0.4693008692996431,0.2817920024675512,-0.1997358959248723,1.0244068800359243,0.49920966314875637,-0.2267209716634881
DOCS,Momentum + Volume Ratio,6,,0.1842896282448272,0.3556998552347733,-0.3958168291170897,0.8258702034793631,0.48258882335202385,-0.28092496969696246
IBM,Momentum,12,,0.5661500474717681,0.17198251640918333,-0.25605017418945286,1.7789635812755802,0.17930303760172583,-0.13759115365273497
IBM,Mean Reversion,6,8.0,0.716402180690893,0.043010596929914914,-0.003506612503468894,,0.0,0.0
IBM,Momentum + Trend Strength,2,,0.09075093874391882,0.12235852928365147,-0.25309929028457456,0.9515629880529769,0.13175299350117287,-0.17805096241134286
IBM,Momentum + Rolling Volatility,12,8.0,0.5661500474717681,0.17198251640918333,-0.25605017418945286,1.7789635812755802,0.17930303760172583,-0.13759115365273497
IBM,Momentum + Volume Ratio,12,,-0.12008548836079173,0.12391138762611592,-0.3163682038467248,1.103757454068093,0.1368101779124544,-0.10923119497876518
BE,Momentum,8,,0.9829797941320416,0.6209012463816341,-0.4798135792897951,1.209882428412978,0.7647548093538974,-0.504232334743819
BE,Mean Reversion,2,14.000000000000002,0.5448079666771414,0.18908519387584902,0.0,-0.6708203932499369,0.06038568614903258,-0.09009814678366324
BE,Momentum + Trend Strength,24,,0.46101576701728664,0.5448874788820173,-0.51471531465629,1.4429807709000315,0.7144013505780483,-0.36269978278606896
BE,Momentum + Rolling Volatility,8,16.0,1.0773077943670897,0.5995852868314497,-0.39335594535023016,1.209882428412978,0.7647548093538974,-0.504232334743819
BE,Momentum + Volume Ratio,8,,0.70936909837208,0.37546139724595,-0.5819913158255817,0.3202615528282707,0.4220883832509896,-0.517461729009884
XOM,Momentum,22,,0.7596586784675822,0.2097731251515443,-0.269249116011025,-0.4553188209529427,0.16370544745264012,-0.3031086954658174
XOM,Mean Reversion,4,6.0,0.8530919963882285,0.044411525282640744,-0.017184983689324418,-0.7986084492807559,0.014427742686358427,-0.03421494440105799
XOM,Momentum + Trend Strength,18,,0.5518398330044597,0.176409209733966,-0.1948352381491515,-0.008977622186179274,0.1378621065272237,-0.2726020046396291
XOM,Momentum + Rolling Volatility,22,4.0,0.8161513948363356,0.19481623981252533,-0.29987407275610495,-0.4553188209529427,0.16370544745264012,-0.3031086954658174
XOM,Momentum + Volume Ratio,16,,0.5065268201348961,0.13783779080306974,-0.2721425557140428,-1.1569311939197526,0.10523684225919851,-0.3501797150342502
GLD,Momentum,4,,0.6441014920078937,0.09974762968205646,-0.20636559286897344,1.4721771007771154,0.1328894256815589,-0.11064646115660566
GLD,Mean Reversion,42,6.0,0.5765341857804726,0.022770429630217328,-0.019486923914670662,,0.0,0.0
GLD,Momentum + Trend Strength,16,,0.3936558774233346,0.08473550366317115,-0.12709908556091318,0.5974556288815346,0.1272069751624831,-0.12636837088725442
GLD,Momentum + Rolling Volatility,48,4.0,0.6318236389300491,0.10702702671982266,-0.16632564833187116,1.5876719666372852,0.14991778658940988,-0.10127740838500286
